id,est_id,date,extra_credit,grade,score,final_score,type
1366553,56150,2011-11-21,Y,A,97.0,99.0,1 - INSPECTION
1366631,83034,2011-11-17,Y,A,90.0,92.0,1 - INSPECTION
1366644,57682,2011-11-22,N,,,,V - VISIT
1366651,58060,2011-11-22,N,A,100.0,100.0,1 - INSPECTION
1366656,85578,2011-11-22,N,,1.0,1.0,1 - INSPECTION
1366784,83823,2011-11-14,Y,A,97.0,99.0,1 - INSPECTION
1366792,55642,2011-11-22,Y,A,94.0,96.0,1 - INSPECTION
1366860,80967,2011-11-23,Y,A,94.0,96.0,1 - INSPECTION
1367033,56462,2011-11-28,N,B,86.0,86.0,1 - INSPECTION
1367036,87907,2011-11-28,N,,,,V - VISIT
1367375,56389,2011-11-30,N,,,,V - VISIT
1367405,88751,2011-11-28,N,,,,P - PERMIT
1367434,58128,2011-11-23,N,A,99.0,99.0,1 - INSPECTION
1367593,58122,2011-11-21,Y,A,100.0,102.0,1 - INSPECTION
1367596,80309,2011-11-30,N,A,99.0,99.0,1 - INSPECTION
1367603,58127,2011-11-29,N,A,98.0,98.0,1 - INSPECTION
1367756,70783,2011-12-02,Y,A,100.0,102.0,1 - INSPECTION
1367813,56669,2011-12-02,N,A,99.0,99.0,1 - INSPECTION
1367815,56148,2011-11-30,Y,A,95.0,97.0,1 - INSPECTION
1367818,56253,2011-11-30,Y,A,98.0,100.0,1 - INSPECTION
1367821,61692,2011-12-02,N,A,99.0,99.0,1 - INSPECTION
1368419,57117,2011-12-06,Y,A,97.0,99.0,1 - INSPECTION
1368665,55827,2011-12-05,Y,A,90.0,92.0,1 - INSPECTION
1368768,56468,2011-12-01,Y,A,99.0,101.0,1 - INSPECTION
1515055,77085,2011-12-09,N,,,,V - VISIT
1515160,58109,2011-12-07,N,A,100.0,100.0,1 - INSPECTION
1515281,97635,2011-12-08,N,,,,P - PERMIT
1515310,55471,2011-12-05,Y,A,97.0,99.0,1 - INSPECTION
1515441,57446,2011-12-12,N,A,96.0,96.0,1 - INSPECTION
1515534,63596,2011-12-08,Y,A,100.0,102.0,1 - INSPECTION
1515537,56655,2011-12-12,Y,A,100.0,102.0,1 - INSPECTION
1515543,56664,2011-12-12,Y,A,99.0,101.0,1 - INSPECTION
1515544,87325,2011-12-13,Y,A,99.0,101.0,1 - INSPECTION
1521406,58071,2012-01-19,N,A,98.0,98.0,1 - INSPECTION
1521433,88760,2012-01-20,N,A,99.0,99.0,1 - INSPECTION
1521460,61037,2012-01-12,Y,A,97.0,99.0,1 - INSPECTION
1521468,56627,2012-01-18,Y,A,100.0,102.0,1 - INSPECTION
1521475,58316,2012-01-12,Y,A,98.0,100.0,1 - INSPECTION
1521675,56738,2012-01-23,Y,A,96.0,98.0,1 - INSPECTION
1521740,57633,2012-01-13,N,A,98.0,98.0,1 - INSPECTION
1521893,56389,2012-01-24,N,,,,V - VISIT
1522081,80343,2012-01-23,N,A,100.0,100.0,1 - INSPECTION
1036346,58336,2009-01-14,Y,A,99.0,101.0,1 - INSPECTION
1036348,57730,2009-01-14,Y,A,98.0,100.0,1 - INSPECTION
1036352,55834,2009-01-21,Y,A,97.0,99.0,1 - INSPECTION
1036357,57752,2009-01-22,N,A,94.0,94.0,1 - INSPECTION
1036392,57100,2009-01-22,N,A,92.0,92.0,1 - INSPECTION
1036393,55502,2009-01-22,N,A,95.0,95.0,1 - INSPECTION
1036496,56773,2009-01-22,N,A,98.0,98.0,1 - INSPECTION
1036599,57121,2009-01-23,N,A,98.0,98.0,1 - INSPECTION
1036605,57244,2009-01-22,N,A,98.0,98.0,1 - INSPECTION
1064783,57187,2009-01-26,N,A,98.0,98.0,1 - INSPECTION
1064790,57134,2009-01-26,N,A,99.0,99.0,1 - INSPECTION
979409,56664,2008-08-05,Y,A,99.0,101.0,1 - INSPECTION
979885,56599,2008-08-08,N,A,97.0,97.0,1 - INSPECTION
980706,57005,2008-08-13,Y,A,98.0,100.0,1 - INSPECTION
980927,57181,2008-08-05,N,,,,V - VISIT
980941,62040,2008-08-12,N,,,,P - PERMIT
981021,60912,2008-08-15,Y,A,100.0,102.0,1 - INSPECTION
981078,56545,2008-08-18,N,B,85.0,85.0,1 - INSPECTION
981200,57162,2008-08-19,N,A,99.0,99.0,1 - INSPECTION
981376,58351,2008-08-20,N,A,97.0,97.0,1 - INSPECTION
981388,57012,2008-08-20,N,A,97.0,97.0,1 - INSPECTION
981395,57617,2008-08-20,Y,A,100.0,102.0,1 - INSPECTION
981547,57229,2008-08-21,N,A,98.0,98.0,1 - INSPECTION
982015,58117,2008-08-25,Y,A,99.0,101.0,1 - INSPECTION
982016,58070,2008-08-25,Y,A,100.0,102.0,1 - INSPECTION
982748,58083,2008-08-28,Y,A,97.0,99.0,1 - INSPECTION
982778,56822,2008-08-28,Y,A,98.0,100.0,1 - INSPECTION
982836,57732,2008-09-02,N,A,98.0,98.0,1 - INSPECTION
982894,60507,2008-09-02,N,A,96.0,96.0,1 - INSPECTION
983153,58106,2008-09-03,Y,A,99.0,101.0,1 - INSPECTION
983162,56668,2008-09-03,Y,A,98.0,100.0,1 - INSPECTION
983328,58333,2008-09-04,N,A,97.0,97.0,1 - INSPECTION
983407,57010,2008-09-04,N,A,96.0,96.0,1 - INSPECTION
983497,57183,2008-09-05,N,,,,V - VISIT
983533,58113,2008-09-04,Y,A,97.0,99.0,1 - INSPECTION
983550,58065,2008-09-05,Y,A,99.0,101.0,1 - INSPECTION
1825319,55750,2012-12-19,N,A,98.0,98.0,1 - INSPECTION
1825320,58108,2012-12-19,N,A,100.0,100.0,1 - INSPECTION
1825722,77085,2012-12-17,N,,,,V - VISIT
1825742,99010,2012-12-20,N,,,,V - VISIT
1826448,100726,2012-12-31,N,,,,V - VISIT
897517,56130,2000-06-01,N,A,100.0,100.0,1 - INSPECTION
897523,56130,2002-03-19,N,A,100.0,100.0,1 - INSPECTION
897526,56130,2002-10-08,N,A,100.0,100.0,1 - INSPECTION
897529,56130,2003-10-20,N,A,100.0,100.0,1 - INSPECTION
897531,56130,2004-07-27,N,A,100.0,100.0,1 - INSPECTION
897535,56130,2005-07-06,N,A,100.0,100.0,1 - INSPECTION
897539,56130,2006-11-20,Y,A,100.0,102.0,1 - INSPECTION
897608,56134,2000-04-04,Y,A,100.0,102.0,1 - INSPECTION
897616,56134,2002-05-31,Y,A,100.0,102.0,1 - INSPECTION
897622,56134,2004-04-08,Y,A,100.0,102.0,1 - INSPECTION
897629,56134,2006-08-24,Y,A,100.0,102.0,1 - INSPECTION
1523931,58081,2012-02-02,Y,A,97.0,99.0,1 - INSPECTION
1524076,56227,2012-02-02,N,A,98.0,98.0,1 - INSPECTION
1524078,56389,2012-02-02,N,A,98.0,98.0,1 - INSPECTION
1524410,57751,2012-02-08,N,A,94.0,94.0,1 - INSPECTION
1524430,58340,2012-02-07,Y,A,98.0,100.0,1 - INSPECTION
1524433,68663,2012-02-02,Y,A,96.0,98.0,2 - RE-INSPECTION
1524549,85263,2012-02-07,N,A,92.0,92.0,1 - INSPECTION
1524660,56827,2012-02-10,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1524661,58123,2012-02-10,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1524662,68663,2012-02-10,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1524672,58105,2012-02-10,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1524678,55475,2012-02-10,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1524709,61758,2012-02-10,Y,A,100.0,102.0,1 - INSPECTION
1524721,61758,2012-02-09,N,,,,V - VISIT
1524723,56738,2012-02-10,N,,,,V - VISIT
1524762,56150,2012-02-09,Y,A,97.0,99.0,1 - INSPECTION
1524806,70505,2012-02-08,N,A,98.0,98.0,1 - INSPECTION
1524810,57097,2012-02-07,Y,A,98.0,100.0,1 - INSPECTION
1524947,56571,2012-02-13,Y,A,90.0,92.0,2 - RE-INSPECTION
1525082,84930,2012-02-11,N,,,,1 - INSPECTION
1525111,56738,2012-02-14,N,,,,V - VISIT
1525171,57747,2012-02-13,Y,A,95.0,97.0,1 - INSPECTION
1525261,56550,2012-02-15,N,A,94.0,94.0,1 - INSPECTION
1525454,56462,2012-02-16,N,A,97.0,97.0,1 - INSPECTION
1525617,56895,2012-02-17,Y,A,94.0,96.0,1 - INSPECTION
